Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
28.09.2019	23.09.2019	27.09.2019	2505	27	13	23	9	7	13	8
21.09.2019	16.09.2019	20.09.2019	2500	27	15	22	8	7	13	8
14.09.2019	09.09.2019	13.09.2019	2503	27	15	22	8	7	14	7
07.09.2019	02.09.2019	06.09.2019	2503	27	15	23	8	6	13	8
31.08.2019	26.08.2019	30.08.2019	2501	27	15	23	9	7	12	7
24.08.2019	19.08.2019	23.08.2019	2504	26	14	23	9	8	13	7
17.08.2019	12.08.2019	16.08.2019	2501	25	13	24	9	8	13	8
10.08.2019	05.08.2019	09.08.2019	2503	26	12	25	8	8	13	8
03.08.2019	29.07.2019	02.08.2019	2501	27	13	23	9	8	13	7
27.07.2019	22.07.2019	26.07.2019	2502	27	13	24	9	7	13	7
20.07.2019	15.07.2019	19.07.2019	2500	27	13	24	8	8	12	8
13.07.2019	08.07.2019	12.07.2019	2500	26	13	25	7	8	13	8
06.07.2019	01.07.2019	05.07.2019	2501	26	12	26	8	8	12	8
29.06.2019	24.06.2019	28.06.2019	2501	26	12	26	8	8	12	8
22.06.2019	17.06.2019	21.06.2019	2500	24	12	27	8	8	13	8
15.06.2019	11.06.2019	14.06.2019	2001	24	11	27	9	8	13	8
08.06.2019	03.06.2019	07.06.2019	2501	24	12	27	8	8	12	9
01.06.2019	27.05.2019	31.05.2019	2001	26	12	27	8	7	11	9
27.05.2019	20.05.2019	24.05.2019	2500	28	17	18	8	8	13	8
20.05.2019	13.05.2019	17.05.2019	2503	29	16	19	8	9	13	6
13.05.2019	06.05.2019	10.05.2019	2502	30	15	20	8	8	13	6
06.05.2019	29.04.2019	03.05.2019	2002	29	15	20	8	9	13	6
29.04.2019	18.04.2019	24.04.2019	2009	27	17	20	8	9	13	6
22.04.2019	15.04.2019	18.04.2019	2004	28	17	19	9	8	13	6
13.04.2019	08.04.2019	12.04.2019	2501	29	16	19	10	8	12	6
06.04.2019	01.04.2019	05.04.2019	2501	29	16	20	10	8	12	5
30.03.2019	25.03.2019	29.03.2019	2504	28	16	20	10	8	12	6
23.03.2019	18.03.2019	22.03.2019	2501	30	16	20	9	8	11	6
16.03.2019	11.03.2019	15.03.2019	2505	31	15	19	10	7	12	6
09.03.2019	04.03.2019	08.03.2019	2501	31	15	19	9	8	12	6
04.03.2019	25.02.2019	01.03.2019	2502	30	16	20	9	8	11	6
23.02.2019	18.02.2019	22.02.2019	2501	30	16	20	9	7	12	6
16.02.2019	11.02.2019	15.02.2019	2501	29	17	21	10	6	12	5
09.02.2019	04.02.2019	08.02.2019	2500	31	15	19	10	8	12	5
02.02.2019	28.01.2019	01.02.2019	2501	32	15	19	9	8	12	5
26.01.2019	21.01.2019	25.01.2019	2501	32	14	20	9	9	11	5
19.01.2019	14.01.2019	18.01.2019	2503	32	15	19	9	8	12	5
12.01.2019	07.01.2019	11.01.2019	2504	32	15	19	9	8	12	5
05.01.2019	02.01.2019	04.01.2019	1503	32	15	19	8	9	12	5
22.12.2018	17.12.2018	21.12.2018	2504	31	14	20	8	8	13	6
15.12.2018	10.12.2018	14.12.2018	2507	32	15	19	8	8	12	6
10.12.2018	07.12.2018	09.12.2018	1506	32	14	19	8	8	13	6
07.12.2018	03.12.2018	06.12.2018	2006	29	14	22	8	8	13	6
01.12.2018	26.11.2018	30.11.2018	2505	27	14	22	9	8	14	6
24.11.2018	19.11.2018	23.11.2018	2507	27	14	23	9	8	14	5
17.11.2018	12.11.2018	16.11.2018	2503	28	14	23	9	9	12	5
