Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	PIRATEN	FW	AFD	SONSTIGE
27.10.2020	23.10.2020	26.10.2020	2069	35.5	14.5	17.5	6.5	7.5	n/a	n/a	12	6.5
20.10.2020	16.10.2020	19.10.2020	2074	35	14.5	18	7.5	8	n/a	n/a	11.5	5.5
13.10.2020	09.10.2020	12.10.2020	2084	35	14.5	18.5	7	8	n/a	n/a	11	6
06.10.2020	02.10.2020	05.10.2020	2058	36	14.5	18.5	6	7	n/a	n/a	11.5	6.5
29.09.2020	25.09.2020	28.09.2020	2065	35	15.5	19	6.5	6.5	n/a	n/a	11.5	6
22.09.2020	18.09.2020	21.09.2020	2067	35	15.5	17.5	6.5	7.5	n/a	n/a	12	6
15.09.2020	11.09.2020	14.09.2020	2036	35.5	16	17	7	7.5	n/a	n/a	11.5	5.5
08.09.2020	04.09.2020	07.09.2020	2068	35	16	18	6.5	8	n/a	n/a	11	5.5
01.09.2020	28.08.2020	31.08.2020	2068	36.5	16	17.5	6	7.5	n/a	n/a	11	5.5
25.08.2020	21.08.2020	24.08.2020	2067	35.5	17	16	6.5	9	n/a	n/a	11	5
18.08.2020	14.08.2020	17.08.2020	2101	36	18	16	6	8	n/a	n/a	11	5
12.08.2020	11.08.2020	11.08.2020	1012	36	18	15	7	9	n/a	n/a	11	4
11.08.2020	07.08.2020	10.08.2020	2036	36.5	16	16	6.5	8.5	n/a	n/a	11	5.5
04.08.2020	31.07.2020	03.08.2020	2090	36.5	15	16.5	6.5	8.5	n/a	n/a	11	6
28.07.2020	24.07.2020	27.07.2020	2039	36.5	15	16	7	8	n/a	n/a	11	6.5
21.07.2020	17.07.2020	20.07.2020	2049	36.5	16	16	7.5	7.5	n/a	n/a	10	6.5
14.07.2020	10.07.2020	13.07.2020	2051	37	14.5	16.5	7	8.5	n/a	n/a	11	5.5
07.07.2020	03.07.2020	06.07.2020	2040	36	15	17	7	8	n/a	n/a	11	6
30.06.2020	26.06.2020	29.06.2020	2051	36.5	16	17	7	8	n/a	n/a	10.5	5
22.06.2020	19.06.2020	22.06.2020	2058	36.5	15	18.5	6	8.5	n/a	n/a	10	5.5
15.06.2020	12.06.2020	15.06.2020	2069	37	15	18	7	8	n/a	n/a	10	5
09.06.2020	05.06.2020	08.06.2020	2051	38	14	17.5	6.5	8.5	n/a	n/a	10	5.5
02.06.2020	29.05.2020	02.06.2020	2047	38.5	14	18	5.5	8	n/a	n/a	10	6
