Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	PIRATEN	FW	AFD	SONSTIGE
18.04.2016	16.04.2016	18.04.2016	2010	31.5	19.5	13	7	9.5	n/a	n/a	13.5	6
11.04.2016	08.04.2016	11.04.2016	1997	31.5	19.5	13.5	7.5	9.5	n/a	n/a	12.5	6
04.04.2016	01.04.2016	04.04.2016	2036	32	20	12.5	7.5	9	n/a	n/a	13	6
29.03.2016	24.03.2016	29.03.2016	1873	32	20	12.5	6	11	n/a	n/a	13	5.5
21.03.2016	18.03.2016	21.03.2016	2022	33	22	11	7	10.5	n/a	n/a	12	4.5
14.03.2016	11.03.2016	14.03.2016	2004	32	22	10	6.5	11	n/a	n/a	13	5.5
08.03.2016	04.03.2016	07.03.2016	2011	32.5	23	11	6.5	10	n/a	n/a	11.5	5.5
29.02.2016	26.02.2016	29.02.2016	2007	32.5	23	11	6.5	11	n/a	n/a	11.5	4.5
22.02.2016	19.02.2016	22.02.2016	2001	32.5	22.5	10.5	6.5	10	n/a	n/a	12.5	5.5
15.02.2016	12.02.2016	15.02.2016	2014	32.5	22.5	11	7	9.5	n/a	n/a	12.5	5
09.02.2016	05.02.2016	09.02.2016	2054	32.5	22	11	6	10.5	n/a	n/a	12	6
01.02.2016	29.01.2016	01.02.2016	2007	33	23	10	6	10	n/a	n/a	12.5	5.5
25.01.2016	22.01.2016	25.01.2016	2047	32.5	23	10	6	9	n/a	n/a	13	6.5
18.01.2016	15.01.2016	18.01.2016	2051	32.5	22.5	9.5	6.5	10	n/a	n/a	12.5	6.5
11.01.2016	08.01.2016	11.01.2016	2039	35	21.5	10	6	10	n/a	n/a	11.5	6
04.01.2016	30.12.2016	04.01.2016	2022	36	22.5	10	5	10	n/a	n/a	9.5	7
21.12.2015	18.12.2015	21.12.2015	2066	35.5	23	9.5	6	11	n/a	n/a	9.5	5.5
14.12.2015	11.12.2015	14.12.2015	2030	35	23.5	9	5.5	10	n/a	n/a	10	7
08.12.2015	04.12.2015	07.12.2015	2012	35	23.5	9.5	6	9.5	n/a	n/a	10	6.5
30.11.2015	27.11.2015	30.11.2015	2016	34.5	23.5	9.5	5.5	9.5	n/a	n/a	10.5	7
23.11.2015	20.11.2015	23.11.2015	2025	34.5	23	9	6	10.5	n/a	n/a	10	7
16.11.2015	13.11.2015	16.11.2015	2057	35	23.5	10	5	10	n/a	n/a	10.5	6
09.11.2015	06.11.2015	09.11.2015	2017	34	24	10	6	11	n/a	n/a	10	5
02.11.2015	30.10.2015	02.11.2015	2173	35.5	24.5	10	5.5	10	n/a	n/a	8	6.5
27.10.2015	23.10.2015	26.10.2015	2196	35	24.5	11	4.5	9.5	n/a	n/a	8.5	7
19.10.2015	16.10.2015	19.10.2015	2173	37	25	9.5	5	9.5	n/a	n/a	7.5	6.5
12.10.2015	09.10.2015	12.10.2015	2190	38	24.5	10	5	9	n/a	n/a	6.5	7
06.10.2015	02.10.2015	05.10.2015	2183	39	24	9.5	5	10	n/a	n/a	6	6.5
28.09.2015	25.09.2015	28.09.2015	2201	38.5	23.5	10.5	4	10.5	n/a	n/a	6	7
21.09.2015	18.09.2015	21.09.2015	2187	39.5	24.5	9.5	4	10	n/a	n/a	6	6.5
14.09.2015	11.09.2015	14.09.2015	2172	40	24	10	4	9.5	n/a	n/a	5.5	7
08.09.2015	04.09.2015	07.09.2015	2151	41.5	24	10.5	4	9.5	n/a	n/a	5	5.5
31.08.2015	28.08.2015	31.08.2015	2169	41.5	23.5	10	4	9.5	n/a	n/a	4.5	7
26.08.2015	21.08.2015	24.08.2015	2169	42	23.5	10.5	4	9.5	n/a	n/a	3.5	7
17.08.2015	14.08.2015	17.08.2015	2178	41	24.5	11	4.5	9	n/a	n/a	4	6
11.08.2015	07.08.2015	10.08.2015	2161	42.5	23	10.5	4.5	9	n/a	n/a	4	6.5
03.08.2015	31.07.2015	03.08.2015	2166	43	24.5	10	4	9.5	n/a	n/a	3	6
28.07.2015	24.07.2015	27.07.2015	2167	41.5	25.5	9.5	4	9.5	n/a	n/a	3	7
20.07.2015	17.07.2015	20.07.2015	2187	42	25	9.5	4	9.5	1.5	n/a	3	5.5
13.07.2015	10.07.2015	13.07.2015	2178	42	25.5	9.5	4	9.5	n/a	n/a	3.5	6
07.07.2015	03.07.2015	06.07.2015	2189	43	24	10	4	9	1	n/a	4	5
30.06.2015	26.06.2015	29.06.2015	2187	39.5	24.5	9.5	5	9.5	2	n/a	4.5	5.5
23.06.2015	19.06.2015	22.06.2015	2179	40	25	10	4	9.5	n/a	n/a	4.5	7
15.06.2015	12.06.2015	15.06.2015	2177	41	24	9.5	4.5	10.5	n/a	n/a	4.5	6
10.06.2015	05.06.2015	08.06.2015	2189	40	24	10	5	10	n/a	n/a	5	6
01.06.2015	29.05.2015	01.06.2015	2168	41	25	10	5	8.5	n/a	n/a	5	5.5
27.05.2015	22.05.2015	25.05.2015	2163	41	24.5	9.5	5	9.5	n/a	n/a	5.5	5
19.05.2015	15.05.2015	18.05.2015	2175	40.5	24	10	4.5	9.5	n/a	n/a	5.5	6
13.05.2015	08.05.2015	11.05.2015	2149	41.5	24.5	9	3	9.5	n/a	n/a	6	6.5
04.05.2015	01.05.2015	04.05.2015	2148	41	25	9.5	3	9.5	2	n/a	6	4
27.04.2015	24.04.2015	27.04.2015	2169	40.5	25	11	3	8.5	1.5	n/a	6	4.5
21.04.2015	17.04.2015	20.04.2015	2174	41	24.5	10	3.5	9	n/a	n/a	6.5	5.5
14.04.2015	10.04.2015	13.04.2015	2161	41	23.5	10	3	9.5	n/a	n/a	6.5	6.5
09.04.2015	03.04.2015	07.04.2015	2174	42	24	9	3	9	n/a	n/a	6.5	6.5
31.03.2015	27.03.2015	30.03.2015	1978	43	23.5	10	3	9	n/a	n/a	6	5.5
24.03.2015	20.03.2015	23.03.2015	2012	41	24	9.5	4	9	n/a	n/a	6.5	6
17.03.2015	13.03.2015	16.03.2015	1998	41	22.5	9.5	3.5	10	n/a	n/a	7.5	6
11.03.2015	06.03.2015	09.03.2015	1997	41	24.5	9.5	3	9	n/a	n/a	7.5	5.5
02.03.2015	27.02.2015	02.03.2015	2019	41	24	9.5	3	9	n/a	n/a	7.5	6
24.02.2015	20.02.2015	23.02.2015	1992	41	24.5	9.5	3	8.5	n/a	n/a	7.5	6
18.02.2015	13.02.2015	17.02.2015	2011	42	24	10	3	8.5	n/a	n/a	7	5.5
10.02.2015	06.02.2015	09.02.2015	2005	40.5	25	10.5	3	8.5	n/a	n/a	7.5	5
02.02.2015	30.01.2015	02.02.2015	2013	41	25	10	2.5	9	n/a	n/a	7	5.5
26.01.2015	23.01.2015	26.01.2015	2005	42	24	10	3	8.5	n/a	n/a	7	5.5
20.01.2015	16.01.2015	19.01.2015	2019	42	23	10	3.5	9	1.5	n/a	7	4
15.01.2015	09.01.2015	12.01.2015	2058	43	23	10	2.5	9	1.5	n/a	7.5	3.5
06.01.2015	02.01.2015	05.01.2015	2036	42.5	24	9	2	9.5	n/a	n/a	7.5	5.5
16.12.2014	12.12.2014	15.12.2014	2017	41.5	24.5	9.5	2	10	n/a	n/a	7.5	5
11.12.2014	05.12.2014	08.12.2014	2046	41	24	9.5	2	9.5	n/a	n/a	8	6
02.12.2014	28.11.2014	01.12.2014	2047	41.5	23	9	2	10	n/a	n/a	8.5	6
24.11.2014	21.11.2014	24.11.2014	1979	41	24	9	2.5	10.5	n/a	n/a	7.5	5.5
17.11.2014	14.11.2014	17.11.2014	2017	40	25	10	2.5	10	n/a	n/a	7	5.5
11.11.2014	07.11.2014	10.11.2014	2028	41	24.5	10	3.5	9	n/a	n/a	8	4
05.11.2014	03.11.2014	05.11.2014	2020	41	25	9	2.5	9	1.5	n/a	8	4
28.10.2014	24.10.2014	27.10.2014	2003	41	24	10	2	9	1.5	n/a	8	4.5
21.10.2014	17.10.2014	20.10.2014	2005	40.5	24.5	9	2.5	9	1.5	n/a	8	5
13.10.2014	10.10.2014	13.10.2014	2043	40	24	10	2	9	n/a	n/a	9	6
07.10.2014	03.10.2014	06.10.2014	2030	39	24	11	3	8	n/a	n/a	8	7
29.09.2014	26.09.2014	29.09.2014	2037	38.5	25	11	3	9.5	n/a	n/a	8.5	4.5
24.09.2014	19.09.2014	22.09.2014	2019	39.5	24	10	3	9	n/a	n/a	8	6.5
16.09.2014	12.09.2014	15.09.2014	2020	39	25	10	3.5	9.5	n/a	n/a	7	6
10.09.2014	05.09.2014	08.09.2014	2030	39.5	23	11	3.5	9	2	n/a	6	6
02.09.2014	29.08.2014	01.09.2014	2036	40	25	10	3	10	n/a	n/a	6	6
27.08.2014	22.08.2014	25.08.2014	1998	42	25	10	3.5	9.5	n/a	n/a	5	5
20.08.2014	15.08.2014	18.08.2014	2005	41	26	10	3.5	9	n/a	n/a	5	5.5
13.08.2014	08.08.2014	11.08.2014	2006	42	26	9.5	3	9	n/a	n/a	5.5	5
05.08.2014	01.08.2014	04.08.2014	2032	41	25	9.5	3	9.5	2	n/a	4.5	5.5
29.07.2014	25.07.2014	28.07.2014	2014	40	24.5	10.5	3.5	9	1.5	n/a	5	6
23.07.2014	18.07.2014	21.07.2014	2044	41	24	10	3.5	9	1.5	n/a	6	5
14.07.2014	11.07.2014	14.07.2014	2018	40	24	11	3.5	9	1.5	n/a	6	5
08.07.2014	04.07.2014	07.07.2014	2033	40	25	10	4	9	2.5	n/a	5.5	4
30.06.2014	27.06.2014	30.06.2014	2044	41	24	10	3.5	9	2	n/a	6	4.5
23.06.2014	20.06.2014	23.06.2014	2020	40.5	24	11	3	9	2	n/a	6	4.5
16.06.2014	13.06.2014	16.06.2014	1993	39.5	25	11	4	8.5	1.5	n/a	6	4.5
11.06.2014	06.06.2014	10.06.2014	2036	39	24.5	11	4.5	9	2	n/a	6.5	3.5
03.06.2014	30.05.2014	02.06.2014	2014	38	26	11	3.5	9	2.5	n/a	6	4
27.05.2014	23.05.2014	26.05.2014	2009	39	26	10	4	9	2	n/a	6	4
19.05.2014	16.05.2014	19.05.2014	2009	40	25	10	4	9	2	n/a	5	5
13.05.2014	09.05.2014	12.05.2014	2033	40	23.5	11	4	10	2	n/a	5.5	4
05.05.2014	02.05.2014	05.05.2014	2082	41	25	11	3	9	2	n/a	5	4
29.04.2014	25.04.2014	28.04.2014	2093	41.5	24	10	4.5	9	2	n/a	5.5	3.5
23.04.2014	18.04.2014	21.04.2014	2089	41	24.5	10.5	4.5	9	2	n/a	5	3.5
14.04.2014	11.04.2014	14.04.2014	2080	40.5	23.5	10	5	10	2	n/a	5.5	3.5
08.04.2014	04.04.2014	07.04.2014	2085	41	24	10	4	10	2	n/a	6	3
01.04.2014	28.03.2014	31.03.2014	2087	41	24.5	11	3	9	2	n/a	5	4.5
26.03.2014	21.03.2014	24.03.2014	2088	41	25	10	4	10	2	n/a	5	3
19.03.2014	14.03.2014	17.03.2014	2102	40.5	24.5	10	4	10	2	n/a	5	4
11.03.2014	07.03.2014	10.03.2014	2085	41	25.5	10	4	8.5	2	n/a	5.5	3.5
04.03.2014	28.02.2014	03.03.2014	2043	41	24.5	11	4	9.5	2	n/a	5	3
25.02.2014	21.02.2014	24.02.2014	2100	40.5	25.5	10	4	9	2.5	n/a	5.5	3
17.02.2014	14.02.2014	17.02.2014	2080	41	25	10	4	10	2.5	n/a	5	2.5
11.02.2014	07.02.2014	10.02.2014	2102	41	26	9	4	9.5	2	n/a	5	3.5
03.02.2014	31.01.2014	03.02.2014	2110	41.5	25	9.5	4	9	2.5	n/a	5	3.5
27.01.2014	24.01.2014	27.01.2014	2079	41	26.5	9.5	4.5	8.5	2.5	n/a	4	3.5
22.01.2014	17.01.2014	20.01.2014	2096	41	26	9.5	4.5	9	n/a	n/a	4	6
13.01.2014	10.01.2014	13.01.2014	2083	41	26	10	4	9.5	n/a	n/a	4	5.5
06.01.2014	03.01.2014	06.01.2014	2067	41.5	25	9	4	10	n/a	n/a	5	5.5
17.12.2013	13.12.2013	16.12.2013	2100	42	27	9	4	9	n/a	n/a	4	5
09.12.2013	06.12.2013	09.12.2013	2090	42	25	10	4	9.5	n/a	n/a	4.5	5
03.12.2013	29.11.2013	02.12.2013	2093	42.5	24	11	3.5	9.5	n/a	n/a	4	5.5
27.11.2013	22.11.2013	25.11.2013	2095	40.5	25.5	10.5	4	9	n/a	n/a	4	6.5
20.11.2013	15.11.2013	18.11.2013	2093	41	25	10	4	9.5	n/a	n/a	4.5	6
12.11.2013	06.11.2013	11.11.2013	2099	42	25	11	4	8.5	n/a	n/a	4.5	5
06.11.2013	01.11.2013	04.11.2013	2086	42	26	10.5	3.5	9	n/a	n/a	4	5
30.10.2013	25.10.2013	28.10.2013	2097	42	26.5	10	3.5	9	n/a	n/a	4.5	4.5
21.10.2013	18.10.2013	21.10.2013	2117	43	26	10	3.5	8.5	n/a	n/a	4	5
15.10.2013	11.10.2013	14.10.2013	1998	42	26	9	4	9	n/a	n/a	6	4
10.10.2013	08.10.2013	09.10.2013	2030	43	25	9	4	9	2	1	5	2
19.09.2013	15.09.2013	18.09.2013	2248	38	28	8	6	9	2	1	5	3
15.09.2013	15.09.2013	15.09.2013	2132	38	27	11	4	8	3	?	4	?
09.09.2013	06.09.2013	09.09.2013	2132	39	28	11	4	8	3	1	3	3
02.09.2013	30.08.2013	02.09.2013	2135	39	26	13	5	8	3	1	3	2
26.08.2013	23.08.2013	26.08.2013	2128	39	25	14	6	7	3	2	3	1
20.08.2013	16.08.2013	19.08.2013	2122	38	26	15	5	8	3	1	3	1
13.08.2013	09.08.2013	12.08.2013	2121	39	26	14	5	8	2	1	3	2
05.08.2013	02.08.2013	05.08.2013	2131	39	26	14	5	8	2	1	2	3
30.07.2013	26.07.2013	29.07.2013	2128	39	26	15	4	7	2	1	3	3
23.07.2013	19.07.2013	22.07.2013	2132	38	26	15	5	7	2	1	3	3
16.07.2013	12.07.2013	15.07.2013	2122	38	26	15	5	8	2	1	3	2
09.07.2013	05.07.2013	08.07.2013	2125	39	26	14	5	7	2	1	3	3
01.07.2013	28.06.2013	01.07.2013	2121	40	25	15	4	7	2	2	3	2
24.06.2013	21.06.2013	24.06.2013	2129	39	26	16	4	7	2	1	2	3
19.06.2013	14.06.2013	17.06.2013	2317	40	25	15	4	7	3	1	3	2
11.06.2013	07.06.2013	11.06.2013	2005	39	26	14	5	7	2	1	3	3
04.06.2013	31.05.2013	03.06.2013	2633	39	27	15	4	6	3	1	3	2
01.06.2013	27.05.2013	29.05.2013	1025	39	26	14	4	7	3	1	4	2
27.05.2013	24.05.2013	27.05.2013	2019	39	25	14	4	7	2	2	3	4
22.05.2013	17.05.2013	20.05.2013	2009	38	26	13	5	8	2	2	3	3
17.05.2013	14.05.2013	15.05.2013	1023	37	27	14	4	8	3	2	3	2
13.05.2013	10.05.2013	13.05.2013	2015	37	27	15	4	7	3	1	3	3
07.05.2013	03.05.2013	06.05.2013	2044	37	26	15	5	7	3	1	3	3
29.04.2013	26.04.2013	29.04.2013	2000	38	26	16	5	7	2	1	3	2
22.04.2013	19.04.2013	22.04.2013	2030	38	26	15	5	6	2	1	5	2
21.04.2013	18.04.2013	19.04.2013	1030	39	26	14	5	6	2	1	4	3
16.04.2013	12.04.2013	15.04.2013	2018	39	26	15	5	6	3	1	3	2
09.04.2013	05.04.2013	08.04.2013	2018	39	26	16	5	7	2	2	n/a	3
25.03.2013	22.03.2013	25.03.2013	2006	39	27	14	5	8	3	1	n/a	3
22.03.2013	15.03.2013	18.03.2013	2011	40	27	15	5	7	2	1	n/a	3
12.03.2013	08.03.2013	11.03.2013	2022	40	27	16	5	6	2	2	n/a	2
04.03.2013	01.03.2013	04.03.2013	2006	41	26	15	5	7	3	1	n/a	2
26.02.2013	22.02.2013	25.02.2013	2028	40	28	15	5	7	2	1	n/a	2
19.02.2013	15.02.2013	18.02.2013	2023	40	29	15	5	6	2	1	n/a	2
12.02.2013	08.02.2013	11.02.2013	2011	39	29	15	4	6	3	1	n/a	3
04.02.2013	01.02.2013	04.02.2013	2017	40	29	15	4	6	2	2	n/a	2
29.01.2013	25.01.2013	28.01.2013	2012	40	28	15	5	6	3	1	n/a	2
22.01.2013	18.01.2013	21.01.2013	1997	41	27	14	4	7	3	1	n/a	3
15.01.2013	11.01.2013	14.01.2013	2023	39	28	15	4	7	3	2	n/a	2
07.01.2013	04.01.2013	07.01.2013	2026	39	28	14	4	7	3	2	n/a	3
18.12.2012	14.12.2012	17.12.2012	2012	36	29	13	5	7	4	2	n/a	4
11.12.2012	07.12.2012	10.12.2012	2020	37	29	14	4	7	3	2	n/a	4
04.12.2012	30.11.2012	02.12.2012	2022	35	29	15	5	7	4	2	n/a	3
27.11.2012	23.11.2012	26.11.2012	2041	36	29	15	4	7	4	2	n/a	3
19.11.2012	16.11.2012	19.11.2012	2019	38	29	14	4	7	4	2	n/a	2
13.11.2012	09.11.2012	12.11.2012	2023	38	30	14	5	6	4	1	n/a	2
06.11.2012	02.11.2012	05.11.2012	2003	38	30	14	4	6	3	2	n/a	3
30.10.2012	26.10.2012	29.10.2012	2034	37	30	13	4	7	4	2	n/a	3
23.10.2012	19.10.2012	22.10.2012	2019	35	32	13	4	7	4	2	n/a	3
15.10.2012	12.10.2012	15.10.2012	2013	36	31	12	4	7	4	2	n/a	4
09.10.2012	05.10.2012	08.10.2012	2006	36	30	11	5	7	5	2	n/a	4
02.10.2012	28.09.2012	01.10.2012	2008	36	29	13	4	7	5	2	n/a	4
25.09.2012	21.09.2012	24.09.2012	2030	36	30	14	5	6	5	1	n/a	3
20.09.2012	14.09.2012	17.09.2012	2039	36	29	13	4	7	6	1	n/a	4
11.09.2012	07.09.2012	10.09.2012	2029	37	28	14	4	6	6	2	n/a	3
04.09.2012	31.08.2012	03.09.2012	2014	36	29	14	4	6	6	2	n/a	3
28.08.2012	24.08.2012	27.08.2012	2020	35	29	15	4	6	6	2	n/a	3
21.08.2012	17.08.2012	20.08.2012	2034	36	28	15	4	6	7	1	n/a	3
14.08.2012	10.08.2012	13.08.2012	2031	35	30	14	4	6	6	2	n/a	3
07.08.2012	03.08.2012	06.08.2012	2046	36	30	13	5	6	6	2	n/a	2
02.08.2012	27.07.2012	30.07.2012	2020	35	31	15	4	6	6	1	n/a	2
24.07.2012	20.07.2012	23.07.2012	2037	35	30	15	5	6	6	1	n/a	2
17.07.2012	13.07.2012	16.07.2012	2020	36	29	14	4	6	7	2	n/a	2
10.07.2012	06.07.2012	09.07.2012	2041	35	28	14	4	6	8	2	n/a	?
03.07.2012	29.06.2012	02.07.2012	2021	35	29	14	4	5	8	2	n/a	3
25.06.2012	22.06.2012	25.06.2012	1987	34	31	14	5	6	7	n/a	n/a	4
19.06.2012	15.06.2012	18.06.2012	2023	35	31	14	5	5	7	n/a	n/a	3
12.06.2012	08.06.2012	11.06.2012	1999	35	31	13	5	5	7	n/a	n/a	4
05.06.2012	01.06.2012	04.06.2012	2019	34	32	14	5	4	7	n/a	n/a	4
29.05.2012	25.05.2012	28.05.2012	2027	33	31	14	5	5	8	n/a	n/a	4
22.05.2012	18.05.2012	21.05.2012	2013	33	32	14	4	6	8	n/a	n/a	3
15.05.2012	11.05.2012	14.05.2012	2031	34	29	14	5	6	9	n/a	n/a	3
09.05.2012	04.05.2012	07.05.2012	2015	35	27	15	5	6	8	n/a	n/a	4
01.05.2012	27.04.2012	30.04.2012	2098	36	27	13	4	7	9	n/a	n/a	4
23.04.2012	20.04.2012	23.04.2012	2097	35	26	15	4	6	10	n/a	n/a	4
16.04.2012	13.04.2012	16.04.2012	2075	36	27	13	4	7	9	n/a	n/a	4
11.04.2012	06.04.2012	09.04.2012	2100	35	28	13	4	7	9	n/a	n/a	4
03.04.2012	30.03.2012	02.04.2012	2085	36	29	14	4	6	8	n/a	n/a	3
27.03.2012	23.03.2012	26.03.2012	2099	36	29	15	4	7	6	n/a	n/a	3
